Model,Accuracy,Precision,Recall,F1-Score,NORMAL Recall,PNEUMONIA Recall,Score
Pure CNN,0.8701923076923077,0.8551724137931035,0.9538461538461539,0.9018181818181819,0.7307692307692307,0.9538461538461539,0.9278321678321679
CNN + Decision Tree,0.7788461538461539,0.7751091703056768,0.9102564102564102,0.8372641509433962,0.5598290598290598,0.9102564102564102,0.8737602805999033
