epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6967881321907043,0.7795323729515076,9.999999747378752e-05,0.6842776536941528,0.8823285102844238,0.6836340427398682,0.8208812475204468,0.9300419092178345,0.5086692571640015,0.9506173133850098,0.798962414264679
1,0.8451582193374634,0.9306363463401794,9.999999747378752e-05,0.45311781764030457,0.9528371691703796,0.8331185579299927,0.8735632300376892,0.9538989067077637,0.4062013328075409,0.9623733758926392,0.8625162243843079
2,0.8751198649406433,0.9497571587562561,9.999999747378752e-05,0.39127281308174133,0.9581412076950073,0.8701675534248352,0.8946360349655151,0.961182177066803,0.36654379963874817,0.9635343551635742,0.8910505771636963
3,0.8966922163963318,0.9631850123405457,9.999999747378752e-05,0.34603360295295715,0.968126118183136,0.8904638886451721,0.9042145609855652,0.9656385183334351,0.33331990242004395,0.9627586007118225,0.9053177833557129
4,0.903403639793396,0.9666350483894348,9.999999747378752e-05,0.32703840732574463,0.9700661301612854,0.8978736996650696,0.8936781883239746,0.969617486000061,0.3410888612270355,0.96875,0.8845654726028442
5,0.9077181220054626,0.9688039422035217,9.999999747378752e-05,0.3151242733001709,0.9689548015594482,0.904961347579956,0.9032567143440247,0.9718979597091675,0.3178775906562805,0.9678770899772644,0.8988326787948608
6,0.918264627456665,0.9736099243164062,9.999999747378752e-05,0.29352718591690063,0.9752321839332581,0.9133376479148865,0.9080459475517273,0.9734278321266174,0.3030857443809509,0.96809983253479,0.9053177833557129
7,0.9206615686416626,0.9752858877182007,9.999999747378752e-05,0.2828848958015442,0.977609395980835,0.9143041372299194,0.9080459475517273,0.9746701121330261,0.3012380301952362,0.9707112908363342,0.9027237296104431
8,0.9244966506958008,0.9800712466239929,9.999999747378752e-05,0.2626751959323883,0.9797041416168213,0.9175257682800293,0.9080459475517273,0.9757699966430664,0.2853797674179077,0.96809983253479,0.9053177833557129
9,0.926174521446228,0.9782964587211609,9.999999747378752e-05,0.26593589782714844,0.9777853488922119,0.9217138886451721,0.9099617004394531,0.9766015410423279,0.2862434685230255,0.9721059799194336,0.9040207266807556
10,0.9254553914070129,0.9795829653739929,9.999999747378752e-05,0.2571529448032379,0.9800618886947632,0.9184922575950623,0.9137930870056152,0.9770647287368774,0.27068808674812317,0.9683631658554077,0.9130998849868774
11,0.936241626739502,0.982244610786438,9.999999747378752e-05,0.2431810349225998,0.9826530814170837,0.9307345151901245,0.9214559197425842,0.9782690405845642,0.2506798505783081,0.9624161124229431,0.929961085319519
12,0.9391179084777832,0.9834599494934082,9.999999747378752e-05,0.23433040082454681,0.9817444086074829,0.9355670213699341,0.9214559197425842,0.9787513017654419,0.25068920850753784,0.9649122953414917,0.9273670315742493
13,0.9338446855545044,0.9819386005401611,9.999999747378752e-05,0.2405790239572525,0.9812797904014587,0.9288015365600586,0.9224137663841248,0.9785493612289429,0.248943492770195,0.9662162065505981,0.9273670315742493
14,0.9348034262657166,0.9841833114624023,9.999999747378752e-05,0.22940798103809357,0.9819605350494385,0.9294458627700806,0.9204980731010437,0.9799817800521851,0.24819669127464294,0.967391312122345,0.923475980758667
15,0.9417545795440674,0.9862576723098755,9.999999747378752e-05,0.2167435735464096,0.987061619758606,0.9339562058448792,0.9166666865348816,0.9795874357223511,0.2500818967819214,0.9684931635856628,0.9169909358024597
16,0.9434323906898499,0.9861910939216614,9.999999747378752e-05,0.21612760424613953,0.9867616891860962,0.936533510684967,0.9300765991210938,0.9800744652748108,0.22960180044174194,0.9653333425521851,0.9390401840209961
17,0.9427133202552795,0.9860193729400635,9.999999747378752e-05,0.21410299837589264,0.9831365942955017,0.9391108155250549,0.9176245331764221,0.9810365438461304,0.2567237913608551,0.9750346541404724,0.9118028283119202
18,0.945349931716919,0.9870924353599548,9.999999747378752e-05,0.20823316276073456,0.9858108162879944,0.9400773048400879,0.9214559197425842,0.9816778898239136,0.25014063715934753,0.9751724004745483,0.9169909358024597
19,0.9451102614402771,0.9875093698501587,9.999999747378752e-05,0.20450563728809357,0.9858059883117676,0.9397551417350769,0.9262452125549316,0.9812074899673462,0.23306743800640106,0.9701896905899048,0.9286640882492065
